Sample	Type	MRP20	ColonySizes	Frequency
F2_A_MRP20_110	segregant	MRP20	0.004,0.006,0.004,0.004,0.003,0.004,0.003,0.003,0.000489,0.003,0.003,0.004,0.004,0.004,0.004,0.004,0.006,0.004,0.004,0.003,0.005,0.004,0.003,0.004,0.006,0.004,0.004,0.003,0.003,0.003,0.004,0.004,0.003,0.003,0.004,0.005,0.004,0.003,0.004,0.002,0.004,0.003,0.005,0.003,0.004,0.004,0.000547,0.003,0.004,0.003,0.003,0.006,0.004,0.004,0.005,0.004,0.005,0.000681	5.17241379310345
F2_A_MRP20_66	segregant	MRP20	2.78e-06,0.006,0.007,0.006,0.007,0.006,0.006,0.006,0.01,0.006,0.006,0.005,0.007,0.006,0.006,0.007,0.000328,0.007,0.006,0.006,0.007,0.006,0.006,0.006,0.007,2.5e-05,0.005,0.007,0.009,0.007	10
F2_A_MRP20_2	segregant	MRP20	0.003,0.004,0.001,0.000536,0.007,0.000575,0.004,0.000672,0.005,5e-04,0.000861,0.000883,0.000878,0.005,0.000981,0.000789,0.000742,0.000714,0.004	63.1578947368421
F2_A_MRP20_118	segregant	MRP20	0.002,0.002,0.002,0.000311,0.000231,0.002,0.002,0.000267,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.000311,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.002,0.001,0.002,0.002,0.002,0.002,0.002,0.000286,0.002,5.56e-06,0.002,0.002,0.002,0.001,0.001,0.002,0.002,0.002,0.002,0.002	23.2558139534884
F2_A_MRP20_80	segregant	MRP20	0.006,0.008,0.011,0.008,0.007,0.007,0.007,0.007,0.003,0.007,0.008,0.006,0.008,0.007,0.006,0.007,0.007,0.007,0.006,0.006,0.006,0.007,0.008,0.006,0.006,0.007,0.006,0.007,0.005,0.008,0.007,0.008,0.006,0.006,0.007,0.008,0.008,0.006,0.008,0.007,0.009,0.006,0.008,0.006,0.007,0.006,0.007,0.006,0.006,0.006,0.008	0
F2_A_MRP20_75	segregant	MRP20	0.004,0.005,0.005,0.004,0.004,0.004,0.005,0.004,0.005,0.005,0.004,0.005,0.005,0.005,0.009,0.004,0.005,0.005,0.004,0.000619,0.000125,0.002,0.009,0.005,0.005,0.008,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.000692,1.11e-05,0.000431,0.004,0.004,0.006,0.005,0.004,0.000483,0.005,0.004,0.004,0.005,0.004,0.004,0.005,0.003,0.000458,0.004,0.004,0.003,0.004	12.7272727272727
F2_D_mrp20_148	segregant	mrp20	0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.007,0.007,0.006,0.007,0.006,0.006,0.006,0.006,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.008,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.007,0.006,0.006,0.006,0.006,0.007,0.007,0.006,0.006,0.005	0
F2_D_mrp20_120	segregant	mrp20	0.005,0.005,0.005,0.006,0.006,0.011,0.011,0.006,0.006,0.005,0.007,0.006,0.007,0.006,0.006,0.006,0.006,0.008,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.007,0.007,0.006,0.005,0.005,0.005,0.01,0.007,0.006,0.006,0.007,0.006,0.006,0.005,0.009,0.006,0.005,0.006,0.006,0.005,0.006,0.006	0
F2_E_mrp20_357	segregant	mrp20	0.004,0.005,0.005,0.005,0.005,0.004,0.000414,0.007,0.007,0.007,0.005,0.008,0.004,0.005,0.008,0.009,0.005,0.005,0.005	5.26315789473684
F2_E_mrp20_35	segregant	mrp20	0.005,0.005,0.001,0.005,0.004,0.005,0.005,0.005,0.008,0.005,0.008,0.005,0.005,0.006,0.005,0.005,0.005,0.005,0.004,0.004	5
