Sample	Type	MRP20	ColonySizes	Frequency
F2_D_mrp20_83	segregant	mrp20	0.001,0.00075,0.000819,0.001,0.000992,0.001,2.78e-06,0.006,0.001,0.005,0.001,0.000928,2.78e-05,0.005,0.001,0.003,0.004,0.001,0.001,0.000997,0.000906,0.005,0.005,0.001,0.003,0.006,0.000914,0.001,0.004,0.006,0.001,0.006,0.001,0.001,0.000203,0.000839,0.001,0.001,0.002,0.00095,0.002,0.001,0.002,0.001,0.001,0.001,0.006,0.002,0.001,0.005,0.005,0.006,0.001,0.001,0.001,0.001,0.001	64.9122807017544
F2_D_mrp20_110	segregant	mrp20	0.005,0.006,0.002,0.005,0.004,0.004,0.005,0.005,0.005,0.004,0.005,0.005,0.004,0.005,0.002,5.56e-06,0.000825,0.002,1.39e-05,0.005,0.005,0.005	13.6363636363636
F2_D_mrp20_113	segregant	mrp20	0.003,5.56e-06,0.000361,0.002,0.003,3.06e-05,4.17e-05,0.003,0.002,0.002,0.003,0.002,0.002,7.5e-05,5e-05,6.11e-05,1.94e-05,0.002,0.002,0.003,8.89e-05,6.11e-05,0.003,0.002,0.002,0.000656,0.003,0.003,0.003,0.003,0.003,0.002,0.003,0.003,0.002,6.94e-05,5.56e-05,0.002,0.002,0.003,0.002,6.39e-05,3.89e-05,0.000178,0.003,3.61e-05,5e-05,0.002,6.94e-05,0.002,6.39e-05,5e-05,0.002,0.004,0.003,0.003,0.003,0.003,0.002,0.000908,0.000264,0.002,0.003,4.17e-05,5e-05,0.003,8.33e-05,6.11e-05,0.003,0.003,0.002,0.003,0.003,0.003,0.003,7.78e-05,5e-05,5e-05,5.83e-05,0.002,0.003,0.004,0.003,0.003,0.003,0.003,0.003,0.003,8.06e-05,5e-05,8.33e-06,6.94e-05,0.002,6.39e-05,7.5e-05,0.003,3.33e-05,6.67e-05,3.89e-05,0.002,0.002,0.003,0.003,0.003,0.003,0.003,0.002,0.003,0.003,0.002,0.002,0.003,0.003,0.003,8.06e-05,0.003,0.004,0.002,6.94e-05,8.61e-05,0.003,0.003,0.004,0.000128,0.003,0.000153,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.003,0.002,0.003,0.002,0.002,0.001,0.003,0.004,0.002,0.002,0.003,0.002,0.003,0.002,3.61e-05,8.33e-06,0.002,0.003,0.003,0.002,0.003,0.003,0.004,0.00035,0.003,6.39e-05,1e-04,6.67e-05,0.000189,0.002,8.06e-05,0.003,1.94e-05,8.06e-05,0.003,2.78e-06,0.002,0.003,0.003,0.002,0.003,0.002,0.003,0.003,0.003,0.002,0.003,0.003,0.002,0.004,0.003,0.005,0.003,0.002,0.003,0.004,0.002,0.003,0.003,0.004,0.002,0.002,0.002,0.002,0.003,0.000242,0.002,3.06e-05,0.001,0.003,0.002,0.002,0.003,0.000258,0.003,0.000217,0.000119,0.003,0.003,0.002,0.003,0.003,0.003,4.44e-05,0.002,0.002,0.003,6.67e-05,2.78e-06,0.003,8.33e-05,1.39e-05,0.004,0.004,0.003,6.11e-05,2.5e-05,0.002,0.002,0.002,0.003,2.78e-05,8.33e-06,0.003,0.002,3.89e-05,0.002,0.000353,0.003,0.003,2.22e-05,2.22e-05,0.003,0.003,0.003,0.003,0.003,0.003,0.003,5.28e-05,0.003,3.33e-05,0.002,0.002,0.000119,1.11e-05,2.78e-06,0.003,3.33e-05,2.78e-05,6.11e-05,0.003,2.5e-05,6.94e-05,0.002,0.005,1.11e-05,0.003,2.78e-05,0.004,0.004,4.17e-05,4.44e-05,3.33e-05,3.61e-05,0.003,0.002,0.000344,0.002,0.003,0.002,0.002,5.83e-05,0.006,3.33e-05,0.002,0.003,0.003,0.002,0.003,0.003,0.002,0.000153,0.000108,0.003,0.003,0.003,0.000992,0.003,0.003,0.003,0.003,0.002,0.002,4.17e-05,4.44e-05,1.39e-05,0.002,3.33e-05,3.06e-05,0.004,0.003,0.003,6.67e-05,0.003,1.67e-05,0.003,0.002,0.003,3.33e-05,0.003,0.003,0.003,0.003,0.003,0.003,0.003,4.44e-05,0.003,2.22e-05,0.003,0.003,0.003,0.003,0.004,0.003,0.003,0.003,0.000133,0.002,5e-05,5.56e-06,8.33e-06,0.003,0.002,0.003,0.002,0.003,0.003,0.002,0.002,0.003,0.003,1.67e-05,4.44e-05,0.003,0.003,0.003,0.003,0.003,0.002,0.003,0.002,0.000203,4.17e-05,0.002,6.11e-05,4.44e-05,5.83e-05,4.17e-05,0.003,9.17e-05,8.33e-06,0.003,0.002,0.002,0.003,2.5e-05,4.17e-05,0.003,0.002,0.002,0.003,0.002,0.002,0.000153,0.003,0.003,4.72e-05,2.5e-05,0.003,0.002,0.002,0.003,0.004,0.003,7.22e-05,4.72e-05,0.002,1.67e-05,1.11e-05,4.72e-05,0.003,0.003,0.003,0.003,4.44e-05,0.003,0.003,0.002,0.003,0.003,0.003,0.003,0.01,0.004,0.003,0.003,0.002,3.61e-05,5e-05,0.004,8.33e-05,0.003,1.94e-05,0.003,0.003,0.003,6.11e-05,1.67e-05,0.004,0.003,0.000111,5.28e-05,0.005,0.003,0.003,0.002,9.44e-05,5.83e-05,0.003,0.003,0.003,0.003,0.005,0.003,0.003,3.33e-05,4.72e-05,3.89e-05,4.17e-05,0.003,0.003,3.89e-05,0.003,0.003,0.004,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.003,0.003,0.002,0.003,0.002,0.004,0.003,0.001,0.003,0.003,0.004,0.003,0.003,0.003,0.003,0.003,0.000511,0.003,0.004,0.002,1.94e-05,4.44e-05,0.003,0.004,0.003,0.003,0.003,0.003,0.003,0.003,5.56e-05,0.001,0.003,3.61e-05,0.003,0.003,0.002,0.003,0.003,0.003,0.006,0.003,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.003,0.003,0.003,0.000103,4.44e-05,1.39e-05,6.39e-05,0.003,0.004,0.000192,0.002,4.44e-05,3.06e-05,0.002,2.78e-05,0.003,0.003,0.003,0.000183,0.003,0.003,0.003,0.003,0.000131,0.000114,0.002,0.005,0.002,0.003,0.002,0.002,0.003,0.000336,0.003,0.002,0.002,0.002,0.003,0.002,0.002,0.002,0.004,0.000114,0.003,0.003,7.78e-05,0.003,4.44e-05,0.005,0.002,0.003,0.003,0.003,0.006,3.61e-05,0.004,0.003,0.003,0.003,0.003,0.000869,0.004,0.003,0.003,0.003,1.94e-05,0.000211,0.002,0.003,0.003,0.006,0.002,0.003,0.000103,0.003,5.28e-05,0.003,0.002,0.003,0.005,6.11e-05,2.5e-05,0.003,7.5e-05,3.06e-05,0.005,0.004,0.002,0.000192,0.002,0.003,0.003,0.003,0.000317,0.004,0.004,0.002,6.67e-05,0.003,0.004,0.003,0.003,7.22e-05,3.06e-05,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.003,0.002,0.002,0.003,0.003,0.002,0.002,0.003,0.002,0.001,0.002,0.003,0.003,0.001	28.9473684210526
F2_D_mrp20_201	segregant	mrp20	0.005,0.007,0.005,0.004,0.000892,0.004,0.005,0.004,0.000806,2.78e-06,0.004,0.006,0.005,0.004,0.004,3.61e-05,1.39e-05,0.001,0.005,4.72e-05,0.001,0.000478,0.004,0.001,0.000389	44
F2_D_mrp20_351	segregant	mrp20	0.001,0.000803,0.001,0.001,0.001,0.000969,0.001,0.000958,0.001,0.001,0.001,0.004,0.001,0.001,0.001,0.004,0.002,0.003,0.001,0.001,0.004,0.00095,0.003,2.78e-06,0.003,0.001,0.000933,0.001,0.000942,0.001,0.000972,0.001,0.001,0.001,0.005,0.001,0.004,0.000919,0.001,0.004,0.003,0.001,0.002,0.001,0.001,0.001,0.000669,0.001,0.001,0.004,0.001,0.003,0.001,0.000878,0.000603,0.001,0.002,0.002,0.001,0.001	73.3333333333333
F2_D_mrp20_164	segregant	mrp20	0.002,0.003,0.000667,0.002,0.000844,0.000697,0.000706,0.001,0.000647,0.000564,0.000683,0.000622,0.000792,0.002,0.003,0.000633,0.000494,0.000467,0.000453,0.000931,0.000711,0.000789,3.61e-05,0.000867,0.002,0.000411,0.001,0.000856,0.002,0.000836,0.000808,0.000489,0.000958,0.000956,0.002,0.000653,0.000822,0.002,0.000678,0.002,0.002,0.000714,0.000292,0.000592,0.002,0.002,0.000189,0.002,6e-04,0.002,0.000772,0.001,0.000592,0.000636,0.002,9e-04,0.000506,0.000511,0.000436,0.003,0.002,0.002,2.78e-06,0.000439,0.000772,0.000539,0.000406,0.000347,0.000489,0.002,0.002,0.002,0.000539,0.002,0.000233,0.000767,0.000478,0.003,6e-04,0.000742,0.000678,0.000789,0.000806,0.00045,0.000792,0.000736,0.000475,0.000533,0.001,0.000558,0.000517,0.001,2.78e-06,8.33e-06,0.002,0.000214,0.000883,0.002,0.000978,0.002,0.002,0.000297,1.67e-05,1.39e-05,0.003,0.002,0.000475,0.002,0.003,0.002,0.000814,0.002,0.000556,0.002,0.000636,0.002,0.000983,0.001,0.000722,0.000703,0.002,0.002,0.000272,0.000622,0.002,0.000425,0.004,4.17e-05,0.000553,0.001,0.001,5.28e-05,0.000378,0.000803,5e-05,0.000689,0.002,0.002,0.000567,0.002,0.000694,0.000617,0.000722,0.000653,0.002,0.000697,0.000183,0.003,0.000475,0.000808,0.002,0.000717,0.000711,0.000892,0.002,0.000619,0.000239,0.000631,0.000867,0.002,0.000264,0.000764,0.002,0.000819,0.000814,0.002,0.000606,0.000703,0.000167,0.000478,0.001,0.002,0.000961,0.000478,0.003,0.000425,0.000789,0.000953	70.7865168539326
F2_D_mrp20_171	segregant	mrp20	0.002,0.002,0.000867,0.000836,0.002,0.002,0.002,0.001,0.001,0.002,0.001,0.002,0.000994,0.002,0.000886,0.000972,0.002,0.002,0.002,0.002,0.001,0.002,0.000911	43.4782608695652
F2_D_mrp20_184	segregant	mrp20	0.002,0.000661,0.002,0.000447,0.000778,0.000778,0.002,0.001,0.000753,0.000383,0.002,0.002,0.000633,0.003,0.000817,0.002,0.003,0.002,0.000556,0.000825,0.000569,0.00055,0.000686,0.001,0.000742,0.000644,0.002,0.000522,0.000478,0.000889,0.000778,0.000728,0.000861,0.00075,0.000386,0.000683,0.000861,0.003,0.000425,0.003,0.000869,0.002,0.000714,0.000722,0.000747,0.000853,0.000692,0.000814,0.000503,0.002,0.000861,0.000931,0.000892,0.003,0.000769,0.000761,0.000528,0.000803,0.00075,0.000869,0.001,0.000836,0.000678,0.002,0.000906,0.000953,0.000994,0.002,0.000961,0.000794,0.000825,0.000864,0.003,0.002,0.000819,0.000894,0.002,0.000908,0.003,0.000692,0.000794,0.000664,0.00085,0.00085,0.000853,0.000781,0.000617,0.002,0.002,0.004,0.001,0.000608,0.002,9.72e-05,0.000594,0.000992,0.001,0.000989,0.001,0.000856,0.000539,0.001,0.000917,0.000856,0.002,0.001,0.000786,0.001,0.000678,0.000919,0.000917,0.000919,0.002,0.002,0.000922,0.000794,0.000389,0.000475,0.001,0.000819,0.002,0.000603,0.000439,0.000508,0.000825,0.000811,0.001,0.000728,0.002,0.000797,0.001,0.001,0.000822	77.4436090225564
F2_D_mrp20_340	segregant	mrp20	0.000208,0.000147,0.002,0.000458,0.002,0.002,0.000383,0.000492,0.002,0.000694,0.002,0.001,0.002,0.003,0.003,0.000525,0.000547,0.000703,0.002,0.002,0.000183,0.00055,0.000461,0.002,0.000478,0.000225,0.000603,0.003,0.000367,0.003,0.000833,0.000556,0.002,0.002,0.001,0.000397,0.000433,0.000428,0.000575,0.000394,0.000572,0.003,0.000228,0.000336,0.00025,0.000919,0.002,5e-04,0.002,0.000253,0.002,0.000486,0.003,0.000317,0.000392,0.000283,0.000375,0.002,0.003,0.002,0.002,0.002,0.002,0.003,0.000497,0.003,0.002,0.000422,0.000469,0.002,0.000425,0.000408,0.000322,0.002,0.000333,0.000267,0.003,0.002,0.003,0.002,0.000225,0.000394,0.000378,0.002,0.001,0.003,0.000347,0.000369,2e-04,0.000392,0.000314,0.000231,0.000364,0.000458,0.000444,0.002,0.000278,0.000561,0.002,0.000581,0.000289,0.000278,0.000278,0.000306,0.000419,0.003,0.003,0.002,0.000456,0.002,6e-04,0.000319,0.002,0.002,0.002,0.000372,0.003,0.002,0.002,1.11e-05,0.000425,0.000322,8.89e-05,0.002,0.000353,0.000297,0.002,0.000711,0.000536,0.000269,0.000344,0.002,0.003,0.000278,0.00035,0.002,0.000536,0.000239,0.000239,0.000194,0.000303,1.67e-05,0.002,0.002,0.000525,0.002,0.002,0.000325,0.000436,0.000433,0.000492,0.000489,0.002,3e-04,4e-04,0.002,0.000264,0.002,0.002,0.003,0.000203,0.000444,0.001,0.002,0.000778,0.002,0.003,0.002,0.000411,0.000444,0.003,0.002,0.00045,0.000275,0.003,0.000419,0.002,0.002,0.002,0.000125,5.56e-06,2.78e-06,0.000361,0.002,0.000531,0.000336,0.001,0.000422,0.002,0.003,0.000347,0.002,0.000356,0.001,5e-05,5.56e-06,0.000306,2.78e-06,0.002,0.002,0.002,0.000242,0.002,0.002,0.002,0.000428,0.001,8.61e-05,2.5e-05,0.000369,0.002,0.000353,0.002,0.000278,0.000322,0.000342,0.000378,0.000367,0.000425,0.002,0.000294,0.000525,0.002,0.002,0.002,0.000522,0.002,9.72e-05,0.000553,0.000342,0.000378,0.002,0.002,0.000461,0.002,0.000367,0.002,0.002,0.002,0.000531,0.000358,0.00035,0.00075,0.000531,0.002,0.000403,5.56e-06,0.002,0.002,0.002,0.000406,0.000372,2.78e-06,0.002,2.78e-06,2.78e-06,2.78e-06,2.78e-06,1.11e-05,2.78e-06,0.002,0.000194	61.0687022900763
F2_E_mrp20_12	segregant	mrp20	7.5e-05,0.000328,0.002,0.000336,0.002,0.000414,0.000825,0.000103,0.002,0.000289,0.002,0.000339,2.78e-06,0.002,0.002,0.003,0.003,0.000569,0.003,0.003,0.000169,0.000592,3.61e-05,0.001,0.000306,0.002,0.001,0.002,0.001,0.000353,0.003,8.33e-06,0.002,0.000886,0.000447,0.002,0.000103,4e-04,0.000669,0.000261,0.001,0.000389,0.001,0.004,0.002,0.003,0.000692,0.002,0.002,0.000128,7.78e-05,2.22e-05,0.003,0.002,0.002,0.000153,0.002,0.002,0.003,0.003,0.003,0.002,0.003,0.003,2.22e-05,0.003,0.002,0.002,0.001,0.002,0.003,0.003,0.003	47.945205479452
F2_E_mrp20_102	segregant	mrp20	0.003,0.001,0.002,0.002,0.001,0.001,0.003,0.001,0.003,6.39e-05,0.000917,0.002,0.002,0.001,0.000967,0.002,0.001,0.002,0.001,0.001,0.002,0.000819,0.002,0.001,0.001,0.000808,0.002,0.000169,5.56e-06,0.001,0.001,0.001,0.000117,0.001,0.002,0.001,0.002,0.001,0.002,0.000869,0.001,0.001,0.001,0.002,0.001,0.000775,0.001,0.001,0.001,0.001,0.000678,0.000794,0.000919,0.001,0.000972,0.002,0.002,0.002,0.001,0.002,0.000506,0.002,0.000936,0.000956,0.002,0.000786,0.002,0.002,0.003,0.002,0.001,0.002,0.001,3.06e-05,1.67e-05,0.002,0.001,0.000892,0.001,0.002,2.78e-06,0.001,0.001,0.003,0.003,0.000789,0.001,0.002,0.001,0.000408,0.002,0.001,0.001,0.001,0.003,0.000853,0.000733,0.002,0.000194,0.000872,0.001,0.000944,0.002,0.000994,0.002,0.001,0.002,0.000808,0.000181,0.002,0.001,0.002,0.001,0.002,0.001,0.000719,0.001,0.000753,0.00095,0.000928,0.000897,0.000675,0.001,0.000775,0.002,0.001,0.000975,0.001,0.001,0.000878,0.002,0.001,0.001,0.002,0.002,0.000844,0.000736,0.002,0.000906,0.001,0.003,0.001,6e-04,0.002,0.001,0.000686,0.001,0.002,0.000925,0.001,0.002,0.002,0.002,0.001,0.001,0.002,0.001,0.002,0.000703,0.001,0.002,0.000489,0.001,0.002,0.002,0.000808,0.001,0.002,0.000419,0.000886,0.001,0.001,0.002,0.001,0.002,8.89e-05,0.002,0.002,0.001,0.002,0.001,0.000883,0.002,0.002,0.000742,0.002,0.000864,6.94e-05,0.001,0.002,0.002,0.001,0.001,0.000903,0.002,0.001,0.001,0.001,0.000936,0.001,0.001,0.001,0.002,0.001,0.002,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.000719,0.000508,0.001,0.000811,0.001,0.001,0.000706,0.000989,0.003,0.002,0.001,0.001,0.001,0.00095,0.002,0.000867,0.001,0.003,0.000989,1.11e-05,0.001,0.000856,0.002,0.000917,0.001,0.000989,0.000569,0.000881,0.001,0.000886,0.002,0.002,0.001	67.3469387755102
F2_E_mrp20_149	segregant	mrp20	0.003,7.78e-05,0.004,0.003,0.000397,0.003,0.002,4.44e-05,5.56e-06,0.004,0.003,0.004,0.003,0.003,0.004,0.004,0.002,0.003,3.33e-05,0.003,0.004,0.004,0.000978,0.004,0.004,9.44e-05,1.39e-05,0.004,0.005,0.003,0.00035,0.003,0.004,0.004,0.004,0.004,0.000342,0.004,0.004,0.002,0.003,0.004,0.003,0.003,0.000239,0.004,4.17e-05,0.003,0.003,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.002,0.005,0.003,0.003,0.004,0.003,0.004,0.004,0.003,0.005,0.003,0.003,0.003,0.004,0.005,0.003,0.003,0.003,0.004,0.004,0.000253,0.005,0.003	16.4556962025316
F2_E_mrp20_165	segregant	mrp20	0.001,0.000428,0.001,0.001,0.002,0.003,0.001,0.002,0.000753,0.000808,0.001,0.001,2.78e-06,2.22e-05,5.28e-05,9.17e-05,8.33e-06,2.78e-06,0.001,0.000864,8.33e-06,0.002,0.001,0.002,0.003,0.002,0.003,0.002,0.001,0.002,0.000339,0.000586,0.001,0.001,0.003,0.003,0.002,0.002,0.002,0.002,0.001,0.000978,0.001,0.002,0.000944,0.000694,0.000983,0.000483,0.002,0.001,0.002,0.001,0.001,0.000892,0.000558,0.002,0.001,0.002,0.002,0.000844,0.002,0.000819,0.000831,0.002,0.002,0.000539,0.000739,0.002,0.002,0.000428,0.002,2.78e-06,0.000869,0.000978,0.001,0.002,0.002,0.001,0.000981,0.000772,0.001,0.002,0.002,0.000825,0.001,0.003,0.002,0.002,0.000847,0.000517,0.001,0.000714,0.001,0.001,0.001,0.002,0.002,0.000936,0.001,0.001,0.001,0.000294,0.000403,0.000472,0.002,0.004,0.001,0.000572,0.002,0.000414,0.000608,0.002,0.002,0.000817,0.001,0.000525,0.002,0.000622,0.000975,0.001,0.000711,0.000422,0.002,0.001,0.000958,0.002,0.002,0.002,0.003,0.000875,0.000433,0.001,0.000225,0.002,0.002,0.000297,0.000578,0.000439,0.003,0.001,0.002,0.003,0.001,0.005,0.000172,0.002,0.000714,0.000239,0.002,0.000928,0.002,0.000686,0.001,0.001,0.001,0.002,0.000797,0.002,0.001,0.001,0.001,0.000544,0.000828,0.000631,0.002,0.001,0.000553,0.001,0.002,0.002,0.001,0.001,0.001,0.001,0.000697,0.002,0.002,0.001,0.000642,0.000717,0.002,0.001,0.000472,0.001,0.002,0.002,0.001,0.001,0.000947,0.000303,0.000847,0.001,0.001,0.002,0.000911,0.001,0.000783,0.001,0.001,0.001,0.002,0.000908,0.001,0.002,0.003,0.000439,0.002,0.000717,0.001,0.002,0.001,0.003,0.002,0.001,0.000792,0.000658,0.002,0.002,0.002,0.002,0.001,0.000164,0.000392,0.000883,0.001,0.002,0.002,0.001,0.001,0.000467,0.001,0.000453,0.001	65.2360515021459
F2_E_mrp20_257	segregant	mrp20	0.003,0.004,0.004,0.004,0.003,0.003,0.003,0.004,0.003,0.003,0.004,0.002,0.003,0.003,2.22e-05,0.004,0.003,0.004,0.003,0.003,0.004,0.002,0.002,0.003,0.003,0.004,0.003,0.004,0.003,0.003,0.004,0.003,0.004,0.003,0.003,0.002,0.003,0.002,0.002	2.56410256410256
F2_E_mrp20_269	segregant	mrp20	0.000475,0.002,0.001,0.003,0.002,0.003,0.000861,0.003,0.003,0.002,0.002,0.002,5.56e-06,1.39e-05,0.003,0.000869,0.002,0.000967,0.000728,0.004,0.002,0.001,0.001,0.003,0.003,0.001,0.000944,0.000711,0.000986,0.003,0.000511,0.001,0.001,0.003,0.001,0.000628,0.003,0.000403,1.67e-05,0.000853,0.001,0.002,0.001,0.003,0.004,0.001,0.000647,0.000653,0.002,0.000803,0.001,0.001,0.000872,0.000842,0.000581,0.002,0.000806,0.000494,0.002,0.003,2.78e-06,0.002,0.002,0.003,0.000531,0.000825,0.000556,0.002,0.002	56.5217391304348
F2_E_mrp20_271	segregant	mrp20	0.004,0.004,0.002,0.000444,0.004,0.003,0.003,0.004,0.003,0.003,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.003,0.003,0.003,0.003,0.004,0.006,0.004,0.002,0.003,0.004,0.004,0.003,6.39e-05,0.003,0.003,0.002,0.003,0.003,0.003,0.004,0.003,0.003,0.003,0.002,0.004,0.003,0.000458,0.003,0.003,0.003,0.002,0.003,0.003,0.003,0.004,0.003,0.003,0.003,0.003,0.003,0.002,0.003,0.004,0.003,0.003,0.00055,0.003,0.004,0.003,0.003,0.007,0.003,0.004,0.002,0.003,0.003,0.000239,0.003,0.003,0.002,0.004,0.003,0.003,0.005,0.003,0.003,0.002,0.006,0.003,0.004,0.004,0.003,0.004,0.005,0.003,0.003,0.003,0.003,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,1.11e-05,0.003,0.003,0.003,0.004,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.003,0.003,0.003,0.003,0.002,0.003,0.000339,0.003,0.003,0.004,0.003,0.003,0.003,0.003,0.002,0.003,0.003,0.002,0.004,0.004,0.002,0.003,0.003,0.003,0.002,0.002,0.002,0.003,0.003,0.004,0.002,0.003,0.003,0.005,0.007,0.003,0.002,0.003,0.002,0.003	4.43037974683544
F2_E_mrp20_338	segregant	mrp20	0.003,0.004,0.004,0.005,0.003,0.004,0.004,0.004,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.005,0.004,0.004,0.004,0.005,0.004,0.004,0.003,0.004,0.004,0.004,0.004,0.005,0.008,0.004,0.003,0.005,0.004,0.005,0.004,0.004,0.005,0.004,0.005,0.003,0.005,0.004,0.004,0.005,0.004,0.004,0.003,0.004,0.004	0
F2_E_mrp20_235	segregant	mrp20	0.001,0.002,0.001,0.002,0.001,0.004,0.002,0.002,0.002,0.001,0.002,0.002,0.004,0.001,0.003,0.002,0.002,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.002,0.002,0.002,0.001,0.000358,0.002,0.002,0.002,0.002,0.000903,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.000181,0.002,0.000119,0.002,0.002,0.002,0.002,0.005,0.001,0.000894,0.002,0.001,0.000108,0.002,0.002,0.002,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.002,0.002,0.001,3.89e-05,2.78e-06,0.002,0.000725,0.001,0.001,0.000339,0.000939,0.000819,0.002,0.001,0.004,0.003,0.001,0.001,0.000367,0.000317,5.56e-06,0.002,0.000889,0.002,0.001,0.001,0.002,0.00085,0.002,0.002,0.001,0.000225,0.002,0.002,0.003,0.000175,0.000806,0.001,0.000625,0.002,0.001,0.001,0.003,0.001,0.000589,0.001,0.002,4.72e-05,3.33e-05,0.002,0.002,0.002,0.000192,0.001,0.002,0.002,0.001,0.002,0.00095,0.000219,0.002,8.33e-06,0.001,2.22e-05,0.001,0.002,0.002,0.000525,0.001,0.002,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.001,0.002,0.000886,0.001,0.000775,0.002,0.000242,0.001,0.001,0.002,0.002,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.000733,0.001,0.001,0.002,0.000589,0.001,0.003,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.002,0.002,0.001,0.001,0.001,0.001,0.002,0.002,0.001,0.002,0.002,0.003,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.000478,0.002,0.002,0.001,0.002,0.003,0.001,0.001,0.000878,0.002,0.002,0.001,0.001,0.001,0.001,0.002,0.001,0.001,3.89e-05,5e-05,0.000953,0.002,0.002,0.001,0.002,0.002,0.000739,0.000861,0.000778,0.001,0.001,0.003,0.001,0.002,0.002,0.004,0.000144,0.001,0.000894,0.000931,0.001,0.000631,0.000553,0.002,0.001,0.002,0.001,0.001,0.002,0.001,0.002,0.002,0.002,0.002,0.001,0.001,0.000681,0.003,9e-04,0.001,0.001,0.000361,0.000153,0.001	53.2319391634981
F2_E_mrp20_160	segregant	mrp20	0.002,0.003,0.002,0.003,0.003,0.002,0.002,0.002,0.006,0.000639,0.003,0.003,0.002,0.002,0.000389,0.003,0.002,0.003,0.003,0.003,0.004,0.002,0.00025,0.003,0.003,0.004,0.003,0.002,0.004,0.000136,0.000142,0.003,0.003,0.002,0.003,0.002,0.002,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.003,2.78e-06,2.78e-06,0.002,0.002,0.002,0.002,0.002,0.002,0.004,0.003,0.002,0.003,0.006,0.004,0.003,0.003,0.002,0.003,0.002,0.003,0.002,0.005,0.003,0.003,0.003,0.002,0.003,0.003,0.002,0.002,0.003,0.002,0.003,0.002,0.003,3.61e-05,0.000619,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.002,0.003,0.004,0.003,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.000856,0.000333,0.001,0.002,0.002,0.004,0.003,0.003,0.003	10.6194690265487
